,885009.WI,H11001.CSI,000300.SH,399005.SZ,HSI.HI
2007/7/6,1075.2017,111.97,3710.283,4386.408,21946.59071
2007/7/9,1075.5054,111.98,3821.302,4477.245,22207.74827
2007/7/10,1075.5892,111.81,3775.621,4339.297,22207.5037
2007/7/11,1075.7011,111.77,3789.874,4360.552,21895.80315
2007/7/12,1075.8227,111.82,3816.921,4443.126,22109.01118
2007/7/13,1075.9498,111.86,3820.124,4443.896,22378.59215
2007/7/16,1076.3452,111.96,3697.966,4384.941,22211.60958
2007/7/17,1076.4458,112.34,3789.651,4456.719,22304.24858
2007/7/18,1076.5237,112.24,3807.574,4453.9,22097.04499
2007/7/19,1076.5872,112.03,3806.997,4492.534,22260.34799
2007/7/20,1076.6525,111.86,3971.884,4694.413,22546.09336
2007/7/23,1076.8536,111.8,4156.723,4863.047,22604.0764
2007/7/24,1076.929,111.84,4161.352,4847.523,22725.73823
2007/7/25,1077.0059,111.82,4255.463,4910.475,22576.50989
2007/7/26,1077.0869,111.9,4303.185,4959.315,22486.32469
2007/7/27,1077.1696,111.89,4307.143,4988.025,21841.61146
2007/7/30,1077.3999,112.06,4410.297,5079.682,22037.46449
2007/7/31,1077.4753,112.14,4460.564,5171.872,22444.18117
2007/8/1,1077.5566,112.19,4290.477,4970.741,21707.59651
2007/8/2,1077.6425,112.17,4436.192,5139.049,21708.23356
2007/8/3,1077.7224,112.22,4598.379,5245.64,21791.29071
2007/8/6,1077.9446,112.3,4703.984,5348.655,21181.44839
2007/8/7,1078.0227,112.31,4724.547,5381.528,21181.08289
2007/8/8,1078.099,112.18,4668.087,5256.213,21808.05946
2007/8/9,1078.1846,112.16,4777.286,5289.414,21686.51947
2007/8/10,1078.252,112.12,4726.683,5164.553,21089.8951
2007/8/13,1078.4651,112.11,4721.192,5138.648,21214.66501
2007/8/14,1078.5277,112.13,4795.568,5183.798,21338.0774
2007/8/15,1078.5873,112.5,4798.75,5188.588,20749.4114
2007/8/16,1078.6491,112.43,4721.942,5223.481,20096.87066
2007/8/17,1078.7161,112.39,4626.583,5167.039,19817.51359
2007/8/20,1078.914,112.48,4885.427,5342.975,20997.86296
2007/8/21,1078.9786,112.37,4972.711,5410.736,21117.6688
2007/8/22,1079.0441,112.27,5051.688,5538.539,21747.08974
2007/8/23,1079.1117,112.35,5135.93,5634.384,22298.86084
2007/8/24,1079.1861,112.41,5217.581,5679.622,22216.12501
2007/8/27,1079.3959,112.43,5243.147,5605.588,22852.00747
2007/8/28,1079.4633,112.49,5251.77,5545.803,22621.49334
2007/8/29,1079.5343,112.47,5171.822,5517.812,22290.15636
2007/8/30,1079.6036,112.52,5241.228,5664.949,22747.82998
2007/8/31,1079.677,112.67,5296.813,5819.779,23261.01818
2007/9/3,1079.9093,112.6,5419.169,5841.271,23157.56527
2007/9/4,1079.9901,112.56,5360.333,5798.128,23154.9174
2007/9/5,1080.0582,112.42,5363.251,5788.976,23327.83956
2007/9/6,1080.1276,112.48,5412.037,5814.922,23275.49611
2007/9/7,1080.214,112.47,5294.795,5666.934,23223.08074
2007/9/10,1080.5365,112.46,5377.222,5718.764,23212.98983
2007/9/11,1080.6681,112.42,5124.092,5462.57,23188.40307
2007/9/12,1080.8225,112.17,5202.856,5539.834,23500.61234
2007/9/13,1080.9766,112.17,5349.97,5632.875,23675.52523
2007/9/14,1081.1448,112.16,5397.278,5660.689,24045.84769
2007/9/17,1081.912,112.08,5498.908,5700.499,23763.70042
2007/9/18,1082.1897,112.1,5476.839,5637.688,23746.88978
2007/9/19,1082.4633,112.12,5419.268,5526.357,24664.82744
2007/9/20,1082.7757,112.11,5494.915,5549.621,24822.66538
2007/9/21,1083.1306,112.05,5468.098,5494.828,24911.85329
2007/9/24,1084.2645,112.01,5513.895,5497.319,25623.9497
2007/9/25,1084.5777,112.01,5454.615,5647.088,25536.41759
